fiscal_year|category|sub_category|Line Item|Utah Communications Authority|Comprehensive Health Insurance Pool|Utah Schools for the Deaf and the Blind|Military Installation Development Authority|Heber Valley Historic Railroad Authority|Utah State Fair Corporation|Weber State University|Southern Utah University|Salt Lake Community College|Utah Valley University|Utah Tech University|Snow College|Technical Colleges|Total Nonmajor Component Units
2015|Expenses|NA|Expenses|11,216|16,580|31,046|4,369|1,410|4,738|220,497|141,584|205,421|293,527|90,814|43,056|89,742|1,154,000
2015|Program Revenues|Charges for Services:|Tuition and Fees|NA|NA|NA|NA|NA|NA|109,575|85,233|82,654|141,528|39,297|12,556|13,754|484,597
2015|Program Revenues|Charges for Services:|Scholarship Allowances|NA|NA|NA|NA|NA|NA|(29,816)|(19,787)|(20,138)|(32,489)|(9,392)|(5,508)|(2,957)|(120,087)
2015|Program Revenues|Charges for Services:|Sales, Services, and Other Revenues|12,071|NA|6,037|3,826|1,458|3,512|22,052|19,308|14,150|24,079|9,387|4,012|10,405|130,297
2015|Program Revenues|NA|Operating Grants and Contributions|14|374|1,467|NA|57|NA|47,980|27,408|48,696|91,957|25,244|7,093|12,671|262,961
2015|Program Revenues|NA|Capital Grants and Contributions|NA|NA|510|NA|NA|NA|7,147|7,708|1,426|46,424|1,360|289|3,137|68,001
2015|Program Revenues|NA|Total Program Revenues|12,085|374|8,014|3,826|1,515|3,512|156,938|119,870|126,788|271,499|65,896|18,442|37,010|825,769
2015|Expenses|NA|Net (Expenses) Revenues|869|(16,206)|(23,032)|(543)|105|(1,226)|(63,559)|(21,714)|(78,633)|(22,028)|(24,918)|(24,614)|(52,732)|(328,231)
2015|General Revenues|NA|State Appropriations|NA|NA|24,259|NA|NA|1,106|73,372|33,290|90,368|100,190|26,085|20,066|55,517|424,253
2015|General Revenues|NA|Donations|NA|NA|NA|NA|8|NA|NA|NA|NA|NA|NA|NA|NA|8
2015|General Revenues|NA|Unrestricted Investment Income|NA|NA|3|12|NA|NA|NA|NA|NA|NA|NA|NA|NA|15
2015|General Revenues|NA|Gain (Loss) on Sale of Capital Assets|(889)|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|(889)
2015|General Revenues|NA|Permanent Endowments Contributions|NA|NA|NA|NA|NA|NA|2,432|977|NA|907|1,253|93|NA|5,662
2015|General Revenues|NA|Total General Revenues and Contributions|(889)|0|24,262|12|8|1,106|75,804|34,267|90,368|101,097|27,338|20,159|55,517|429,049
2015|Net Position|NA|Change in Net Position|(20)|(16,206)|1,230|(531)|113|(120)|12,245|12,553|11,735|79,069|2,420|(4,455)|2,785|100,818
2015|Net Position|NA|Net Position – Beginning|NA|16,206|16,249|415|1,767|630|454,787|203,827|329,445|410,652|162,739|104,059|157,233|1,858,009
2015|Net Position|NA|Adjustment to Beginning Net Position|24,937|NA|(8,006)|(114)|(156)|NA|(14,167)|(9,681)|(13,862)|(19,545)|(5,042)|(3,488)|(16,017)|(65,141)
2015|Net Position|NA|Net Position – Beginning as Adjusted|24,937|16,206|8,243|301|1,611|630|440,620|194,146|315,583|391,107|157,697|100,571|141,216|1,792,868
2015|Net Position|NA|Net Position – Ending|24,917|0|9,473|(230)|1,724|510|452,865|206,699|327,318|470,176|160,117|96,116|144,001|1,893,686
