fiscal_year|category|sub_category|Line Item|Utah Communications Authority|Utah Schools for the Deaf and the Blind|Military Installation Development Authority|Heber Valley Historic Railroad Authority|Utah State Fair Corporation|Point of the Mountain Development Authority|Utah Inland Port Authority|Weber State University|Southern Utah University|Salt Lake Community College|Utah Valley University|Utah Tech University|Snow College|Technical Colleges|Total Nonmajor Component Units
2017|Expenses|NA|Expenses|20,057|35,083|22,948|1,686|4,395|NA|NA|238,000|144,618|220,104|337,621|91,768|48,812|104,595|1,269,687
2017|Program Revenues|Charges for Services:|Tuition and Fees|NA|NA|NA|NA|NA|NA|NA|117,067|80,206|80,228|180,457|45,684|14,732|13,207|531,581
2017|Program Revenues|Charges for Services:|Scholarship Allowances|NA|NA|NA|NA|NA|NA|NA|(33,247)|(27,302)|(17,614)|(42,852)|(9,939)|(5,867)|(3,407)|(140,228)
2017|Program Revenues|Charges for Services:|Sales, Services, and Other Revenues|11,351|7,132|1,478|1,703|3,915|NA|NA|23,416|21,513|13,235|23,816|8,581|4,848|11,383|132,371
2017|Program Revenues|NA|Operating Grants and Contributions|143|748|NA|NA|NA|NA|NA|59,249|33,484|42,644|87,200|17,795|9,539|13,968|264,770
2017|Program Revenues|NA|Capital Grants and Contributions|NA|15,317|NA|NA|NA|NA|NA|13,607|7,095|75|5,608|7,662|NA|6,937|56,301
2017|Program Revenues|NA|Total Program Revenues|11,494|23,197|1,478|1,703|3,915|NA|NA|180,092|114,996|118,568|254,229|69,783|23,252|42,088|844,795
2017|Net Position|NA|Net (Expenses) Revenues|(8,563)|(11,886)|(21,470)|17|(480)|NA|NA|(57,908)|(29,622)|(101,536)|(83,392)|(21,985)|(25,560)|(62,507)|(424,892)
2017|General Revenues|NA|State Appropriations|7,500|27,585|NA|NA|675|NA|NA|81,512|36,171|97,976|106,398|33,570|23,392|67,382|482,161
2017|General Revenues|NA|Donations|NA|NA|NA|174|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|174
2017|General Revenues|NA|Unrestricted Investment Income|NA|9|9|NA|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|19
2017|General Revenues|NA|Miscellaneous|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|18|18
2017|General Revenues|NA|Permanent Endowments Contributions|NA|NA|NA|NA|NA|NA|NA|2,963|452|NA|6,703|210|71|NA|10,399
2017|General Revenues|NA|Total General Revenues and Contributions|7,500|27,594|9|174|676|NA|NA|84,475|36,623|97,976|113,101|33,780|23,463|67,400|492,771
2017|Net Position|NA|Change in Net Position|(1,063)|15,708|(21,461)|191|196|NA|NA|26,567|7,001|(3,560)|29,709|11,795|(2,097)|4,893|67,879
2017|Net Position|NA|Net Position – Beginning|34,117|10,548|24,427|1,977|313|NA|NA|517,887|212,759|334,888|499,135|158,720|96,763|165,534|2,057,068
2017|Net Position|NA|Adjustment to Beginning Net Position|NA|(1,401)|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|(1,401)
2017|Net Position|NA|Net Position – Beginning as Adjusted|34,117|9,147|24,427|1,977|313|NA|NA|517,887|212,759|334,888|499,135|158,720|96,763|165,534|2,055,667
2017|Net Position|NA|Net Position – Ending|33,054|24,855|2,966|2,168|509|NA|NA|544,454|219,760|331,328|528,844|170,515|94,666|170,427|2,123,546
