fiscal_year|category|sub_category|line_item|Utah Communications Authority|Utah Schools for the Deaf and the Blind|Military Installation Development Authority|Heber Valley Historic Railroad Authority|State Fair Park Authority|Utah Lake Authority|Point of the Mountain Development Authority|Utah Inland Port Authority|Utah Water Ways Partnership|Utah Board of Higher Education|Weber State University|Southern Utah University|Salt Lake Community College|Utah Valley University|Utah Tech University|Snow College|Technical Colleges|Total Nonmajor Component Units
2024|Expenses|NA|Expenses|30,474|57,938|153,344|3,772|7,839|1,935|1,736|28,564|687|NA|316,445|254,730|273,831|509,082|171,804|72,606|213,448|2,098,235
2024|Program Revenues|Charges for Services:|Tuition and Fees|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|136,417|135,396|79,940|217,920|82,493|18,221|21,146|691,533
2024|Program Revenues|Charges for Services:|Scholarship Allowances|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|(42,459)|(45,234)|(27,611)|(58,386)|(32,223)|(5,804)|(6,561)|(218,278)
2024|Program Revenues|Charges for Services:|Sales, Services, and Other Revenues|577|11,436|6,731|4,182|8,996|NA|NA|NA|NA|NA|28,336|25,530|7,058|26,759|17,346|7,140|11,333|155,424
2024|Program Revenues|NA|Operating Grants and Contributions|28,530|1,377|16,032|1,191|NA|1,457|192|9,415|3,400|NA|96,128|61,341|79,895|139,914|39,472|5,964|37,865|522,173
2024|Program Revenues|NA|Capital Grants and Contributions|NA|NA|34,751|NA|NA|NA|NA|3,183|NA|NA|14,154|7,718|42,712|17,271|8,581|19,845|45,608|193,823
2024|Program Revenues|NA|Total Program Revenues|29,107|12,813|57,514|5,373|8,996|1,457|192|12,598|3,400|0|232,576|184,751|181,994|343,478|115,669|45,366|109,391|1,344,675
2024|Program Revenues|NA|Net (Expenses) Revenues|(1,367)|(45,125)|(95,830)|1,601|1,157|(478)|(1,544)|(15,966)|2,713|0|(83,869)|(69,979)|(91,837)|(165,604)|(56,135)|(27,240)|(104,057)|(753,560)
2024|General Revenues|NA|State Appropriations|32,000|41,454|NA|NA|NA|NA|1,750|NA|NA|NA|150,568|74,465|142,433|189,430|64,584|46,999|154,843|898,526
2024|General Revenues|NA|Gain (Loss) on Sale of Capital Assets|90|NA|NA|23|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|201|314
2024|General Revenues|NA|Miscellaneous|2,875|NA|3,406|19|784|NA|NA|27,502|31|NA|NA|NA|NA|NA|NA|NA|11|34,628
2024|General Revenues|NA|Permanent Endowments Contributions|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2,113|1,120|2,152|6,394|245|199|25|12,248
2024|General Revenues|NA|Total General Revenues, Contributions and Other|34,965|41,454|3,406|42|784|0|1,750|27,502|31|0|152,681|75,585|144,585|195,824|64,829|47,198|155,080|945,716
2024|General Revenues|NA|Change in Net Position|33,598|(3,671)|(92,424)|1,643|1,941|(478)|206|11,536|2,744|0|68,812|5,606|52,748|30,220|8,694|19,958|51,023|192,156
2024|General Revenues|NA|Net Position – Beginning|121,650|41,994|(20,601)|7,620|11,826|1,204|10,750|27,190|0|369,552|837,700|281,452|482,436|908,324|333,571|143,012|347,350|3,905,030
2024|General Revenues|NA|Adjustment to Beginning Net Position|NA|NA|NA|NA|NA|NA|NA|NA|NA|(369,552)|NA|38,816|NA|NA|NA|NA|15,008|(315,728)
2024|General Revenues|NA|Net Position – Beginning as Adjusted|121,650|41,994|(20,601)|7,620|11,826|1,204|10,750|27,190|0|0|837,700|320,268|482,436|908,324|333,571|143,012|362,358|3,589,302
2024|General Revenues|NA|Net Position – Ending|155,248|38,323|(113,025)|9,263|13,767|726|10,956|38,726|2,744|0|906,512|325,874|535,184|938,544|342,265|162,970|413,381|3,781,458
